prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
,RAINBOW SMELT,200064258312wd,126532000121123791,,1,1,0,3,0,23,23,Y,98,100,,2,1265320001211003,791,1,3,0,0,1,0,,,4,25,25,4,2,6,2000,1265320001211,12,wd,,,1265320001211001,,,,8,1,,PLYMOUTH,20APR200114:04,1,8,1,,,,8755030302,,1,,8,1200,02360,11519.726511,200064258312wd,,0,1265320001211001,05/04/2021
,,200064258312wd,1265320001211251485,,1,1,0,2,1,25,25,Y,10,50,,1.5,1265320001211004,1485,4,3,0,0,0,0,,,4,25,25,4,1,6,2000,1265320001211,12,wd,,,1265320001211004,,,,8,1,,SUFFOLK,20APR200114:04,1,8,1,,,,,,1,,8,1315,02424,3890.5239917,200064258312wd,,0,1265320001211004,05/04/2021
,RAINBOW SMELT,200064258312wd,126532000121523791,0,1,1,0,1,2,23,23,Y,20,100,,2.5,1265320001215001,791,1,3,0,11,0,0,,,4,25,25,4,2,6,2000,1265320001215,12,wd,,,1265320001215001,1,11,0,8,1,,PLYMOUTH,20APR200114:04,1,2,1,,,,8755030302,,1,,2,1250,02360,11519.726511,200064258312wd,,0,1265320001215001,05/04/2021
,RAINBOW SMELT,200064258312wd,126532000121523791,,1,1,0,3,0,23,23,Y,20,100,,2.5,1265320001215002,791,1,3,0,0,1,0,,,4,25,25,4,2,6,2000,1265320001215,12,wd,,,1265320001215001,,,,8,1,,PLYMOUTH,20APR200114:04,1,8,1,,,,8755030302,,1,,8,1255,02360,11519.726511,200064258312wd,,0,1265320001215001,05/04/2021
,ATLANTIC COD,200064258312wd,126532000121525171,0,1,1,0,2,1,25,25,Y,5,50,,2,1265320001215003,171,1,3,1,0,0,0,,,4,25,25,4,1,6,2000,1265320001215,12,wd,,,1265320001215003,1,,,8,1,,SUFFOLK,20APR200114:04,1,8,1,,,,8791030402,,1,,8,1355,02132,10960.30288,200064258312wd,,0,1265320001215003,05/04/2021
,ATLANTIC MACKEREL,200064258311we,12878200011049110,,1,1,0,2,1,9,9,Y,0,0,,1,1287820001104003,110,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1287820001104,11,we,,,1287820001104003,,,,8,1,,ESSEX,20APR200114:04,1,8,1,,,,8850030302,,1,,8,1530,01915,2953.8032966,200064258311we,,0,1287820001104003,05/04/2021
,ATLANTIC MACKEREL,200064258311we,12878200011049110,,1,1,0,2,1,9,9,Y,0,0,,1,1287820001104004,110,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1287820001104,11,we,,,1287820001104004,,,,8,1,,ESSEX,20APR200114:04,1,8,1,,,,8850030302,,1,,8,1540,01915,2953.8032966,200064258311we,,0,1287820001104004,05/04/2021
,ATLANTIC COD,200064258312we,128782000121025171,,1,1,0,2,1,25,21,Y,32,300,,5,1287820001210001,171,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1287820001210,12,we,,,1287820001210001,,,,8,1,,NORFOLK,20APR200114:04,1,8,1,,,,8791030402,,1,,8,1410,99998,8321.3929145,200064258312we,,0,1287820001210001,05/04/2021
,ATLANTIC COD,200064258312we,128782000121025171,,1,1,0,2,1,25,27,N,32,100,,5,1287820001210002,171,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1287820001210,12,we,,,1287820001210002,,,,8,1,,,20APR200114:04,1,8,1,,,,8791030402,,1,,8,1430,99998,16091.852737,200064258312we,,0,1287820001210002,05/04/2021
,ATLANTIC COD,200064258312we,128782000121025171,,1,1,0,2,1,25,27,N,32,100,,5,1287820001210003,171,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1287820001210,12,we,,,1287820001210003,,,,8,1,,,20APR200114:04,1,8,1,,,,8791030402,,1,,8,1525,99998,16091.852737,200064258312we,,0,1287820001210003,05/04/2021
BLUEFISH,STRIPED BASS,200064258311we,16105200011127814,0,1,1,0,2,1,7,1,O,0,4,,1,1610520001112001,814,5,3,0,0,0,0,,,5,25,36,4,1,6,2000,1610520001112,11,we,,,1610520001112001,,,,8,1,,,20APR200114:04,1,8,1,,,,8835020102,8835250101,1,,8,1035,12203,9363.3014935,200064258311we,,0,1610520001112001,05/04/2021
,STRIPED BASS,200064258311we,16105200011257599,,1,1,0,2,1,7,17,Y,0,10,,1,1610520001125001,599,1,3,0,0,0,0,,,4,25,25,4,1,6,2000,1610520001125,11,we,,,1610520001125001,,,,8,1,,MIDDLESEX,20APR200114:04,1,8,1,,,,8835020102,,1,,8,935,01745,5294.3752773,200064258311we,,0,1610520001125001,05/04/2021
